"match_id","innings_1_score","runs_to_win","wickets_in_hand","bowler_runs","bowler_econ","bowler_wickets","bowler_boundaries","batsman_runs","batsman_sr","boundaries","match_result"
"548347","207","41","3","33","11.0000","0","6","9","100.0000","1","Won"
"548348","156","17","3","17","5.6667","2","1","8","100.0000","0","Won"
"548350","152","12","8","25","8.3333","0","4","75","129.3103","9","Won"
"548352","139","6","6","17","5.6667","1","1","10","125.0000","0","Lost"
"548355","158","5","4","23","7.6667","0","3","0","0.0000","0","Lost"
"548356","120","12","4","14","4.6667","1","2","40","129.0323","5","Won"
"548357","160","20","6","22","7.3333","0","2","21","100.0000","2","Won"
"548358","150","18","3","24","8.0000","2","3","34","136.0000","3","Won"
"548359","177","53","2","14","4.6667","2","3","1","50.0000","0","Won"
"548360","173","16","3","18","6.0000","1","3","9","180.0000","1","Lost"
"548364","170","35","2","22","7.3333","0","2","1","100.0000","0","Won"
"548367","173","46","1","23","7.6667","3","3","4","100.0000","0","Won"
"548368","182","38","7","22","7.3333","0","2","74","132.1429","9","Won"
"548370","170","55","1","8","8.0000","0","0","6","85.7143","0","Won"
"548371","190","16","4","21","7.0000","1","3","62","187.8788","9","Lost"
"548372","171","14","5","25","12.5000","0","4","81","152.8302","10","Lost"
"548373","158","9","6","27","9.0000","1","2","4","100.0000","0","Lost"
"548375","140","33","1","15","5.0000","3","2","3","75.0000","0","Won"
"548377","215","30","3","22","11.0000","1","3","25","208.3333","3","Won"
"548380","136","38","2","12","4.0000","1","0","1","50.0000","0","Won"
"548381","132","20","3","21","7.0000","1","2","2","100.0000","0","Won"
"548384","187","46","2","8","8.0000","0","1","16","114.2857","2","Won"
"598004","156","10","7","21","7.0000","1","2","18","112.5000","1","Won"
"598006","165","9","6","29","9.6667","1","2","1","100.0000","0","Won"
"598007","148","12","2","27","9.0000","2","3","51","204.0000","8","Won"
"598009","130","7","4","22","7.3333","0","2","14","127.2727","1","Lost"
"598011","209","56","2","24","8.0000","1","2","1","25.0000","0","Won"
"598015","114","6","3","13","4.3333","1","1","3","100.0000","0","Lost"
"598016","183","46","2","15","7.5000","1","1","5","55.5556","0","Won"
"598017","165","16","4","25","8.3333","0","2","26","162.5000","2","Lost"
"598018","180","55","4","27","9.0000","1","3","3","60.0000","0","Won"
"598019","124","5","6","16","5.3333","1","0","21","100.0000","2","Lost"
"598020","159","36","3","23","7.6667","1","3","13","130.0000","1","Won"
"598021","157","11","3","26","8.6667","1","4","13","92.8571","2","Won"
"598022","152","12","3","29","9.6667","0","4","3","150.0000","0","Lost"
"598027","119","2","4","3","3.0000","1","0","30","230.7692","5","Lost"
"598030","185","16","7","19","9.5000","0","2","65","175.6757","8","Lost"
"598033","171","22","5","34","11.3333","0","4","49","175.0000","7","Won"
"598034","159","10","6","20","6.6667","0","2","33","143.4783","3","Lost"
"598038","194","71","3","8","8.0000","2","1","17","113.3333","2","Won"
"598039","200","19","6","26","13.0000","1","6","30","166.6667","4","Won"
"598040","164","28","6","18","6.0000","0","2","6","150.0000","1","Won"
"598041","171","6","6","32","10.6667","0","5","1","100.0000","0","Lost"
"598042","174","17","1","32","10.6667","1","5","14","175.0000","2","Won"
"598043","164","44","2","12","4.0000","0","0","20","95.2381","2","Won"
"598046","186","19","7","32","10.6667","0","4","73","146.0000","10","Won"
"598052","178","5","6","19","6.3333","2","3","27","245.4545","3","Lost"
"598056","223","90","3","12","12.0000","0","2","35","116.6667","4","Won"
"598058","152","48","2","18","6.0000","1","2","1","50.0000","0","Won"
"598059","183","19","4","11","3.6667","4","1","14","200.0000","2","Won"
"598061","150","40","3","14","4.6667","4","1","24","66.6667","1","Won"
"598062","115","5","5","12","4.0000","2","0","2","66.6667","0","Lost"
"598065","178","7","6","43","14.3333","0","7","54","234.7826","8","Lost"
"598066","170","18","4","15","7.5000","0","2","3","60.0000","0","Won"
"598067","168","39","1","18","6.0000","2","0","11","157.1429","1","Won"
"598068","166","23","4","28","9.3333","0","3","39","150.0000","7","Won"
"598070","136","35","2","8","2.6667","1","0","16","200.0000","2","Won"
"598072","172","45","2","15","5.0000","1","2","6","100.0000","0","Won"
"598076","132","10","4","15","5.0000","2","1","42","155.5556","5","Lost"
"598077","165","8","5","24","12.0000","0","4","15","166.6667","2","Lost"
"598078","148","42","1","16","5.3333","1","1","47","120.5128","5","Won"
"729284","163","47","4","10","5.0000","0","0","4","66.6667","0","Won"
"729290","133","8","4","14","4.6667","1","1","47","151.6129","5","Lost"
