"match_id","innings_1_score","runs_to_win","wickets_in_hand","bowler_runs","bowler_econ","bowler_wickets","bowler_boundaries","batsman_runs","batsman_sr","batsman_boundaries","non_striker_runs","non_striker_sr","non_striker_boundaries","bowler_eg_games","bowler_eg_runs","bowler_eg_economy","bowler_eg_wickets","batsman_eg_games","batsman_eg_runs","batsman_eg_sr","non_striker_eg_games","non_striker_eg_runs","non_striker_eg_sr","bowler_lt_games","bowler_lt_runs","bowler_lt_economy","bowler_lt_wickets","batsman_lt_games","batsman_lt_runs","batsman_lt_sr","non_striker_lt_games","non_striker_lt_runs","non_striker_lt_sr","match_result"
"392204","139","10","5","18","6.0000","0","2","1","100.0000","0","13","144.4444","1","20","234","9.2368","9","48","605","152.7778","16","235","162.0690","38","755","8.1769","19","134","3278","122.0857","23","394","128.3388","Lost"
"392229","129","5","3","9","9.0000","1","0","46","93.8776","3","11","220.0000","1","10","111","8.8800","8","24","312","159.1837","51","294","113.5135","14","362","9.1646","13","54","1017","124.3276","57","340","108.9744","Lost"
"980938","164","21","5","17","5.6667","0","1",NULL,NULL,NULL,"58","126.0870","7","58","797","8.6007","54","61","950","181.6444","84","1478","183.8308","70","1981","8.0311","90","74","1351","159.8817","194","5230","131.0449","Won"
"1082627","209","56","4","19","6.3333","1","3",NULL,NULL,NULL,"17","141.6667","2","40","503","9.0631","27","11","48","106.6667","13","160","142.8571","46","1476","8.8119","55","11","63","95.4545","21","303","135.2679","Won"
"548346","177","26","4","21","7.0000","1","2","12","171.4286","1","22","157.1429","2","17","213","10.6500","8","4","20","105.2632","25","244","131.8919","44","1317","8.8986","39","4","20","105.2632","38","514","109.3617","Won"
"598062","115","5","5","12","4.0000","2","0","2","66.6667","0","7","116.6667","1","80","1172","10.7032","62","41","251","145.9302","17","212","151.4286","104","3037","8.5670","127","47","342","120.4225","21","326","138.7234","Lost"
"598039","200","19","6","26","13.0000","1","6","30","166.6667","4","1","100.0000","0","58","797","8.6007","54","31","478","173.1884","82","1126","161.7816","70","1981","8.0311","90","59","1272","126.4414","153","3222","144.2902","Won"
"598021","157","11","3","26","8.6667","1","4","13","92.8571","2",NULL,NULL,NULL,"79","1058","10.7230","43","82","1126","161.7816","4","10","62.5000","119","3342","7.9477","102","153","3222","144.2902","4","10","62.5000","Won"
"598071","183","51","2",NULL,NULL,NULL,NULL,"5","71.4286","0","1","100.0000","0","1","0","0.0000","1","73","620","153.0864","20","86","89.5833","1","0","0.0000","1","86","829","139.3277","20","88","88.8889","Won"
"598077","165","8","5","24","12.0000","0","4","15","166.6667","2","2","66.6667","0","72","961","9.9931","55","76","930","167.8700","73","620","153.0864","105","2742","8.1124","107","149","3659","126.6967","86","829","139.3277","Lost"
